Gauteng: Ekurhuleni Metro(EKU) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3427709390,0,4025720996,4025720996,332037827,334634046,337979124,1004650997,319603347,329987053,329253550,978843950,348132815,335509944,332784766,1016427525,334500254,345943630,324608548,1005052432,4004974904,4025720996,-20746092,-0.52,4025720996
Property rates - penalties and collection charges,,106611391,0,108988649,108988649,7042330,7863062,7194697,22100089,7450114,7471253,5554179,20475546,7007799,8076404,7325650,22409853,8095659,8155870,7168276,23419805,88405293,108988647,-20583354,-18.89,108988649
Service charges - electricity revenue,,10358668615,0,11717499438,11718452845,1086614127,1192142802,1213842186,3492599115,896531512,927693407,873682393,2697907312,786789415,815574370,848603701,2450967486,878533607,830820281,886763501,2596117389,11237591302,11717499437,-479908135,-4.1,11718452845
Service charges - water revenue,,2576372920,0,2867860972,2867860972,247095620,212680982,248005436,707782038,263529628,258940070,244610072,767079770,252016865,249289979,258451687,759758531,250552146,253968163,230991202,735511511,2970131850,2867860972,102270878,3.57,2867860972
Service charges - sanitation revenue,,895456299,0,995311140,1068509519,78243261,79302255,87381097,244926613,91207046,94603915,89705601,275516562,87938349,89241812,88753150,265933311,90210744,89255496,75796846,255263086,1041639572,995311140,46328432,4.65,1068509519
Service charges - refuse revenue,,962651746,0,1231349159,1260028554,85222748,116704949,101492635,303420332,87781545,113461338,103785565,305028448,103886904,83942336,120572582,308401822,101626344,90565628,107589670,299781642,1216632244,1231349157,-14716913,-1.2,1260028554
Service charges - other,,67888786,0,78332753,78332753,6817037,5882070,4708112,17407219,8290620,4750336,5690103,18731059,5567074,4749253,6599588,16915915,5970724,5824758,6927093,18722575,71776768,78332753,-6555985,-8.37,78332753
Rental of facilities and equipment,,55704908,0,65945354,65945354,3811979,5398988,4731563,13942530,4674038,4027775,4807642,13509455,6002831,4128250,5885536,16016617,3936612,4421596,8671322,17029530,60498132,65945356,-5447224,-8.26,65945354
Interest earned - external investments,,370295276,0,220042500,281998177,29466889,32119306,31808854,93395049,29992842,29842951,28989375,88825168,35808598,35603875,31919019,103331492,40508814,39571595,104970813,185051222,470602931,220042499,250560432,113.87,281998177
Interest earned - outstanding debtors,,362065026,0,219921038,219921038,25190509,25027247,22893829,73111585,22558328,22399435,24049485,69007248,23940690,24586122,24044986,72571798,26453592,26749021,24846471,78049084,292739715,219921039,72818676,33.11,219921038
